timestamp,score,strokes,holeStrokes,stats_aces,stats_doubleEagleOrBetter,stats_eagles,stats_birdies,stats_pars,stats_bogeys,stats_doubleBogeyOrWorse,name,course_par,is_18_holes,hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18
2024-07-07 20:24:44.536,30,102,"[6, 6, 5, 6, 8, 4, 6, 4, 6, 5, 6, 6, 8, 2, 8, 5, 5, 6]",0,0,0,1,1,6,10,Salem Hills Golf Club,72,1,6,6,5,6,8,4,6,4,6,5.0,6.0,6.0,8.0,2.0,8.0,5.0,5.0,6.0
2024-07-13 14:34:18.105,7,34,"[3, 5, 4, 4, 3, 3, 3, 5, 4]",0,0,0,0,4,3,2,The Links at Rolling Meadows Golf Club,27,0,3,5,4,4,3,3,3,5,4,,,,,,,,,
2024-07-17 21:56:14.912,10,46,"[7, 4, 5, 6, 5, 4, 5, 4, 6]",0,0,0,0,1,6,2,Terra Verde Golf Course,36,0,7,4,5,6,5,4,5,4,6,,,,,,,,,
2024-07-20 12:18:33.556,10,37,"[5, 3, 5, 4, 5, 3, 4, 4, 4]",0,0,0,0,2,4,3,The Links at Rolling Meadows Golf Club,27,0,5,3,5,4,5,3,4,4,4,,,,,,,,,
2024-07-20 20:13:27.044,13,49,"[5, 8, 5, 5, 8, 5, 4, 4, 5]",0,0,0,0,2,4,3,Yankee Springs Golf Course,36,0,5,8,5,5,8,5,4,4,5,,,,,,,,,
2024-07-20 21:35:40.561,11,47,"[5, 4, 6, 6, 6, 5, 4, 5, 6]",0,0,0,0,2,4,3,Yankee Springs Golf Course,36,0,5,4,6,6,6,5,4,5,6,,,,,,,,,
2024-08-11 11:37:34.557,12,48,"[6, 8, 5, 5, 6, 5, 3, 5, 5]",0,0,0,0,1,6,2,Yankee Springs Golf Course,36,0,6,8,5,5,6,5,3,5,5,,,,,,,,,
2024-08-11 12:36:21.107,11,47,"[6, 5, 4, 7, 6, 5, 5, 5, 4]",0,0,0,0,1,6,2,Yankee Springs Golf Course,36,0,6,5,4,7,6,5,5,5,4,,,,,,,,,
2024-08-19 15:04:34.897,13,48,"[6, 5, 6, 5, 6, 5, 8, 2, 5]",0,0,0,1,0,4,4,Brae Burn Golf Club,35,0,6,5,6,5,6,5,8,2,5,,,,,,,,,
2024-08-25 16:29:10.497,28,100,"[4, 7, 5, 3, 7, 6, 7, 3, 6, 5, 6, 6, 5, 5, 8, 6, 4, 7]",0,0,0,0,3,6,9,Kaufman Golf Course at Palmer Park,72,1,4,7,5,3,7,6,7,3,6,5.0,6.0,6.0,5.0,5.0,8.0,6.0,4.0,7.0
2024-09-01 11:53:23.525,23,94,"[6, 5, 6, 7, 3, 8, 7, 3, 5, 8, 2, 4, 5, 6, 5, 5, 4, 5]",0,0,0,1,4,8,5,Quail Crossing,71,1,6,5,6,7,3,8,7,3,5,8.0,2.0,4.0,5.0,6.0,5.0,5.0,4.0,5.0
2024-09-13 20:16:37.158,30,102,"[8, 4, 6, 4, 7, 6, 5, 4, 6, 6, 5, 5, 6, 6, 5, 5, 7, 7]",0,0,0,0,2,6,10,Yankee Springs Golf Course,72,1,8,4,6,4,7,6,5,4,6,6.0,5.0,5.0,6.0,6.0,5.0,5.0,7.0,7.0
2024-09-14 12:45:22.937,9,36,"[4, 5, 3, 4, 4, 4, 3, 4, 5]",0,0,0,0,2,5,2,The Links at Rolling Meadows Golf Club,27,0,4,5,3,4,4,4,3,4,5,,,,,,,,,
2024-09-29 22:13:38.601,23,94,"[5, 5, 4, 6, 7, 6, 4, 6, 5, 5, 7, 3, 5, 5, 6, 4, 5, 6]",0,0,0,0,3,8,7,Saskatoon Golf Club,71,1,5,5,4,6,7,6,4,6,5,5.0,7.0,3.0,5.0,5.0,6.0,4.0,5.0,6.0
2024-10-20 18:38:52.965,11,45,"[5, 4, 4, 7, 6, 5, 4, 4, 6]",0,0,0,0,2,3,4,Rolling Meadows Golf Course,34,0,5,4,4,7,6,5,4,4,6,,,,,,,,,
2024-10-26 14:42:59.345,12,47,"[5, 4, 4, 6, 7, 4, 5, 5, 7]",0,0,0,0,1,5,3,Downing Farms Golf Course,35,0,5,4,4,6,7,4,5,5,7,,,,,,,,,
2024-11-02 16:05:36.842,31,101,"[5, 5, 5, 7, 5, 6, 5, 7, 3, 6, 7, 8, 5, 5, 5, 7, 5, 5]",0,0,0,1,1,6,10,Idyl Wyld Golf Course,70,1,5,5,5,7,5,6,5,7,3,6.0,7.0,8.0,5.0,5.0,5.0,7.0,5.0,5.0
2024-11-08 18:32:13.891,11,47,"[6, 5, 5, 5, 6, 5, 4, 6, 5]",0,0,0,0,1,5,3,Huron Meadows Metropark Golf Course,36,0,6,5,5,5,6,5,4,6,5,,,,,,,,,
